track,metric,value,context
track_a_hyperparam_sensitivity,mean_k,9.333333,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_a/track_a_summary.csv
track_a_hyperparam_sensitivity,mean_g,74.666667,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_a/track_a_summary.csv
track_a_hyperparam_sensitivity,mean_mean_accuracy,0.865709,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_a/track_a_summary.csv
track_a_hyperparam_sensitivity,mean_std_accuracy,0.029105,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_a/track_a_summary.csv
track_a_hyperparam_sensitivity,mean_mean_transform_time_sec,6.298861,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_a/track_a_summary.csv
track_a_hyperparam_sensitivity,mean_mean_fit_time_sec,8.391211,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_a/track_a_summary.csv
track_a_hyperparam_sensitivity,mean_mean_predict_time_sec,0.021200,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_a/track_a_summary.csv
track_b_variant_analysis,mean_mean_delta,0.008403,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_b/variant_summary.csv
track_b_variant_analysis,mean_median_delta,0.002178,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_b/variant_summary.csv
track_b_variant_analysis,mean_std_delta,0.026650,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_b/variant_summary.csv
track_b_variant_analysis,mean_max_gain,0.180716,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_b/variant_summary.csv
track_b_variant_analysis,mean_max_drop,-0.041400,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_b/variant_summary.csv
track_b_variant_analysis,mean_wins,65.000000,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_b/variant_summary.csv
track_b_variant_analysis,mean_ties,5.000000,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_b/variant_summary.csv
track_b_variant_analysis,mean_losses,42.000000,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_b/variant_summary.csv
track_b_variant_analysis,mean_win_rate,0.580357,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_b/variant_summary.csv
track_c_timing_quality,mean_mean_accuracy,0.912735,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_c/track_c_summary.csv
track_c_timing_quality,mean_std_accuracy,0.030157,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_c/track_c_summary.csv
track_c_timing_quality,mean_mean_transform_time_sec,0.815265,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_c/track_c_summary.csv
track_c_timing_quality,mean_mean_fit_time_sec,0.127251,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_c/track_c_summary.csv
track_c_timing_quality,mean_mean_predict_time_sec,0.017670,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_c/track_c_summary.csv
track_c_timing_quality,mean_mean_total_time_sec,0.960186,/Users/ranjithaks/hydra-kernels/improvements/analysis/track_c/track_c_summary.csv
