dataset,resample,k,g,accuracy,transform_time_sec,fit_time_sec,predict_time_sec,cv_mode,status,error
ACSF1,0,4,32,0.87,0.8277,0.4478,0.0009,loo,ok,
ACSF1,0,4,64,0.89,1.4352,0.4939,0.0472,loo,ok,
ACSF1,0,4,128,0.9,2.73,0.4799,0.0623,loo,ok,
ACSF1,0,8,32,0.89,1.2861,0.2499,0.0441,loo,ok,
ACSF1,0,8,64,0.87,2.4373,0.4682,0.0733,loo,ok,
ACSF1,0,8,128,0.88,4.9502,0.5312,0.0128,loo,ok,
ACSF1,0,16,32,0.86,2.3059,0.4859,0.0563,loo,ok,
ACSF1,0,16,64,0.88,4.6343,0.5126,0.0326,loo,ok,
ACSF1,0,16,128,0.88,8.1614,0.4881,0.0606,loo,ok,
ACSF1,1,4,32,0.74,0.9204,0.458,0.0832,loo,ok,
ACSF1,1,4,64,0.79,1.3726,0.5081,0.0324,loo,ok,
ACSF1,1,4,128,0.79,2.5729,0.452,0.069,loo,ok,
ACSF1,1,8,32,0.8,1.2654,0.4882,0.0524,loo,ok,
ACSF1,1,8,64,0.78,2.4312,0.5008,0.0405,loo,ok,
ACSF1,1,8,128,0.82,4.887,0.4794,0.0661,loo,ok,
ACSF1,1,16,32,0.79,2.331,0.2863,0.0026,loo,ok,
ACSF1,1,16,64,0.81,4.7273,0.406,0.0506,loo,ok,
ACSF1,1,16,128,0.8,7.9487,0.5142,0.0436,loo,ok,
ACSF1,2,4,32,0.84,0.9302,0.4387,0.0761,loo,ok,
ACSF1,2,4,64,0.85,1.3609,0.4603,0.08,loo,ok,
ACSF1,2,4,128,0.84,2.6028,0.4493,0.0319,loo,ok,
ACSF1,2,8,32,0.86,1.2831,0.4868,0.0537,loo,ok,
ACSF1,2,8,64,0.83,2.5303,0.4864,0.0559,loo,ok,
ACSF1,2,8,128,0.84,4.8561,0.4675,0.0784,loo,ok,
ACSF1,2,16,32,0.82,2.3202,0.5407,0.0014,loo,ok,
ACSF1,2,16,64,0.85,4.5667,0.3243,0.1672,loo,ok,
ACSF1,2,16,128,0.82,7.7776,0.4301,0.0863,loo,ok,
Adiac,0,4,32,0.772379,0.5475,0.5561,0.0021,loo,ok,
Adiac,0,4,64,0.808184,0.8812,0.5688,0.0019,loo,ok,
Adiac,0,4,128,0.823529,1.3268,0.5885,0.0052,loo,ok,
Adiac,0,8,32,0.797954,0.8383,0.5724,0.0225,loo,ok,
Adiac,0,8,64,0.823529,1.2964,0.5629,0.0045,loo,ok,
Adiac,0,8,128,0.831202,2.0377,0.5721,0.0066,loo,ok,
Adiac,0,16,32,0.808184,1.2492,0.5675,0.0055,loo,ok,
Adiac,0,16,64,0.828645,2.0066,0.5778,0.0061,loo,ok,
Adiac,0,16,128,0.823529,3.4914,0.6078,0.0146,loo,ok,
Adiac,1,4,32,0.795396,0.6278,0.5573,0.0015,loo,ok,
Adiac,1,4,64,0.815857,0.8653,0.5612,0.0029,loo,ok,
Adiac,1,4,128,0.815857,1.3247,0.5637,0.0046,loo,ok,
Adiac,1,8,32,0.813299,0.8271,0.5608,0.0019,loo,ok,
Adiac,1,8,64,0.841432,1.2921,0.5669,0.0034,loo,ok,
Adiac,1,8,128,0.83376,2.075,0.5744,0.0094,loo,ok,
