dataset,k,g,mean_accuracy,std_accuracy,mean_transform_time_sec,mean_fit_time_sec,mean_predict_time_sec
ACSF1,8,32,0.850000,0.045826,1.278200,0.408300,0.050067
ACSF1,8,128,0.846667,0.030551,4.897767,0.492700,0.052433
ACSF1,16,64,0.846667,0.035119,4.642767,0.414300,0.083467
ACSF1,4,64,0.843333,0.050332,1.389567,0.487433,0.053200
ACSF1,4,128,0.843333,0.055076,2.635233,0.460400,0.054400
ACSF1,16,128,0.833333,0.041633,7.962567,0.477467,0.063500
ACSF1,8,64,0.826667,0.045092,2.466267,0.485133,0.056567
ACSF1,16,32,0.823333,0.035119,2.319033,0.437633,0.020100
ACSF1,4,32,0.816667,0.068069,0.892767,0.448167,0.053400
Adiac,8,128,0.834612,0.003907,2.053900,0.573767,0.007800
Adiac,16,64,0.834612,0.005324,2.013000,0.578867,0.006733
Adiac,16,128,0.832907,0.014086,3.474833,0.605233,0.029967
Adiac,8,64,0.830349,0.009683,1.298433,0.565200,0.004200
Adiac,16,32,0.825234,0.021296,1.259967,0.575000,0.006600
Adiac,4,128,0.824382,0.008982,1.330000,0.577433,0.005600
Adiac,4,64,0.815857,0.007673,0.867533,0.563367,0.002400
Adiac,8,32,0.812447,0.014086,0.833467,0.563000,0.009767
Adiac,4,32,0.791986,0.018144,0.598867,0.556433,0.001633
ArrowHead,16,32,0.803810,0.044385,0.598900,0.032267,0.005100
ArrowHead,16,64,0.803809,0.042888,0.907667,0.014867,0.024033
ArrowHead,4,32,0.801905,0.042121,0.282667,0.001267,0.015600
ArrowHead,4,64,0.801905,0.043643,0.423367,0.030467,0.005833
ArrowHead,8,32,0.800000,0.054511,0.415367,0.027400,0.004933
ArrowHead,16,128,0.798095,0.042889,1.420167,0.017467,0.009667
ArrowHead,4,128,0.794286,0.049487,0.634267,0.022233,0.008867
ArrowHead,8,128,0.794286,0.054510,0.944633,0.014133,0.008100
ArrowHead,8,64,0.792381,0.052786,0.596867,0.019133,0.007867
BME,4,32,1.000000,0.000000,0.190000,0.006800,0.009167
BME,4,64,1.000000,0.000000,0.289300,0.001367,0.041433
BME,4,128,1.000000,0.000000,0.346433,0.093367,0.009733
BME,8,32,1.000000,0.000000,0.253533,0.002200,0.020133
BME,8,64,1.000000,0.000000,0.348767,0.038167,0.008667
BME,8,128,1.000000,0.000000,0.496333,0.050533,0.006867
BME,16,32,1.000000,0.000000,0.360100,0.018533,0.038400
BME,16,64,1.000000,0.000000,0.485300,0.046167,0.012500
BME,16,128,1.000000,0.000000,0.718333,0.010833,0.008200
Beef,4,32,0.822222,0.019245,0.232267,0.001267,0.000200
Beef,16,32,0.800000,0.057735,0.389267,0.045433,0.015267
Beef,4,128,0.800000,0.033333,0.443700,0.018933,0.007233
Beef,8,128,0.800000,0.033333,0.572000,0.027233,0.009300
Beef,16,128,0.788889,0.038490,0.971633,0.014567,0.006967
Beef,8,32,0.777778,0.050917,0.319733,0.020600,0.006967
Beef,16,64,0.777778,0.050917,0.551267,0.043600,0.010733
Beef,4,64,0.766667,0.033334,0.253400,0.023700,0.005367
Beef,8,64,0.755555,0.069389,0.423867,0.029633,0.004500
BeetleFly,8,32,0.966667,0.028868,0.282433,0.021167,0.005500
BeetleFly,16,32,0.966667,0.028868,0.355600,0.009800,0.004333
BeetleFly,16,64,0.966667,0.028868,0.481167,0.012267,0.008333
BeetleFly,16,128,0.966667,0.028868,0.741500,0.010400,0.005767
BeetleFly,4,128,0.950000,0.050000,0.355433,0.035500,0.007100
BeetleFly,8,64,0.950000,0.050000,0.362833,0.009700,0.026200
BeetleFly,4,64,0.950000,0.000000,0.280200,0.026933,0.003333
BeetleFly,8,128,0.950000,0.000000,0.467533,0.020800,0.010200
BeetleFly,4,32,0.933333,0.076376,0.173300,0.015300,0.008000
BirdChicken,4,64,0.916667,0.028868,0.279933,0.015733,0.011900
BirdChicken,8,32,0.916667,0.028868,0.262767,0.015767,0.004367
BirdChicken,8,64,0.916667,0.028868,0.353700,0.036900,0.006367
BirdChicken,8,128,0.916667,0.028868,0.486267,0.014600,0.004200
BirdChicken,16,32,0.916667,0.028868,0.355267,0.011533,0.006933
BirdChicken,16,64,0.916667,0.028868,0.470167,0.013767,0.008033
BirdChicken,16,128,0.916667,0.028868,0.734933,0.007500,0.008333
BirdChicken,4,32,0.900000,0.050000,0.181867,0.013400,0.001700
BirdChicken,4,128,0.900000,0.000000,0.356967,0.017100,0.029600
CBF,8,32,0.992593,0.006697,0.805867,0.001233,0.016267
CBF,8,64,0.992593,0.006119,1.209400,0.021033,0.011433
CBF,8,128,0.992593,0.006119,1.848500,0.019767,0.036633
CBF,4,64,0.992222,0.005879,0.864600,0.001300,0.019633
CBF,16,32,0.992222,0.006939,1.144500,0.024533,0.010967
CBF,16,64,0.991852,0.006119,1.776400,0.051033,0.013300
CBF,16,128,0.991852,0.006318,3.044300,0.017867,0.018467
CBF,4,32,0.991481,0.008912,0.581567,0.001200,0.016267
CBF,4,128,0.991481,0.007230,1.285767,0.040000,0.009933
Car,4,64,0.944444,0.009623,0.491700,0.039733,0.036433
Car,4,32,0.938889,0.025459,0.331300,0.049200,0.048233
Car,4,128,0.938889,0.025459,0.704100,0.042100,0.026700
Car,16,128,0.938889,0.019245,2.161033,0.036633,0.028200
Car,8,32,0.938889,0.009623,0.491567,0.087300,0.018433
Car,8,128,0.933333,0.000000,1.204433,0.021067,0.023500
Car,16,32,0.933333,0.000000,0.682367,0.032167,0.018767
Car,8,64,0.927778,0.025459,0.669200,0.047067,0.042567
Car,16,64,0.927778,0.009622,1.173133,0.020200,0.010367
Chinatown,16,64,0.968902,0.012138,0.254100,0.025567,0.010667
Chinatown,4,128,0.965987,0.011783,0.181233,0.051233,0.006233
Chinatown,8,64,0.965987,0.011783,0.191667,0.017967,0.005133
Chinatown,16,32,0.965986,0.014381,0.161700,0.008567,0.009533
Chinatown,16,128,0.965986,0.014381,0.358133,0.013167,0.011367
Chinatown,8,128,0.965015,0.012708,0.262500,0.015033,0.015200
Chinatown,4,64,0.965014,0.010512,0.130467,0.011133,0.007633
Chinatown,4,32,0.964043,0.011038,0.151433,0.017733,0.007833
Chinatown,8,32,0.963071,0.012138,0.104200,0.016233,0.009100
ChlorineConcentration,16,128,0.780816,0.007857,19.116600,0.624067,0.193033
ChlorineConcentration,16,64,0.774913,0.010782,10.842600,0.619067,0.050067
ChlorineConcentration,8,128,0.774566,0.007797,11.193033,0.578533,0.047867
ChlorineConcentration,16,32,0.764583,0.016927,6.660133,0.579067,0.014600
ChlorineConcentration,8,64,0.754080,0.004153,7.021933,0.577167,0.020633
ChlorineConcentration,4,128,0.745399,0.013940,7.470967,0.581367,0.024867
ChlorineConcentration,8,32,0.730469,0.008700,4.552633,0.505533,0.017167
ChlorineConcentration,4,64,0.712239,0.012892,4.710967,0.578167,0.013533
ChlorineConcentration,4,32,0.674045,0.006548,3.257767,0.571133,0.008367
CinCECGTorso,8,32,0.997101,0.002174,11.774500,0.013467,0.023500
CinCECGTorso,16,32,0.996860,0.003017,20.022000,0.035500,0.042967
CinCECGTorso,16,64,0.996860,0.002545,34.784967,0.032167,0.037767
CinCECGTorso,16,128,0.996860,0.003017,66.342200,0.072867,0.181967
CinCECGTorso,8,64,0.995894,0.003267,20.275000,0.020333,0.039700
CinCECGTorso,8,128,0.995894,0.003267,36.283667,0.029433,0.054567
CinCECGTorso,4,64,0.995411,0.003647,12.755633,0.037267,0.021467
CinCECGTorso,4,128,0.995169,0.004246,22.031167,0.024633,0.047733
CinCECGTorso,4,32,0.994444,0.003719,7.709000,0.035500,0.023000
Coffee,4,32,1.000000,0.000000,0.185900,0.020167,0.014400
Coffee,4,64,1.000000,0.000000,0.251400,0.021800,0.012733
Coffee,4,128,1.000000,0.000000,0.324800,0.033700,0.019900
Coffee,8,32,1.000000,0.000000,0.260633,0.025033,0.014333
Coffee,8,64,1.000000,0.000000,0.306867,0.020967,0.018500
Coffee,8,128,1.000000,0.000000,0.421600,0.021533,0.003500
Coffee,16,32,1.000000,0.000000,0.334067,0.068700,0.008133
Coffee,16,64,1.000000,0.000000,0.451433,0.056567,0.005333
Coffee,16,128,1.000000,0.000000,0.647900,0.005900,0.010867
Computers,16,32,0.817333,0.091418,2.798967,0.548900,0.002133
Computers,16,64,0.817333,0.070465,4.829600,0.557467,0.005033
Computers,16,128,0.814667,0.076350,9.167300,0.594033,0.003767
Computers,8,128,0.800000,0.068235,5.159700,0.559333,0.003667
Computers,8,64,0.797333,0.058287,2.954967,0.551967,0.002200
Computers,8,32,0.789333,0.070692,1.683033,0.549233,0.001300
Computers,4,128,0.780000,0.063498,3.225733,0.560633,0.003067
Computers,4,64,0.770667,0.068391,1.785400,0.553833,0.001500
Computers,4,32,0.765333,0.025403,0.965000,0.523033,0.003400
CricketX,8,128,0.816239,0.012118,3.990233,0.552133,0.049100
CricketX,16,64,0.815384,0.015597,3.790067,0.587000,0.006167
CricketX,16,128,0.807692,0.015385,6.810933,0.606167,0.010300
CricketX,8,64,0.801709,0.019584,2.293400,0.565167,0.003733
CricketX,16,32,0.793162,0.019917,2.228733,0.569167,0.003267
CricketX,4,128,0.790598,0.014122,2.463567,0.567300,0.003567
CricketX,8,32,0.787180,0.022206,1.394033,0.559467,0.003700
CricketX,4,64,0.782906,0.003917,1.447733,0.490400,0.040667
CricketX,4,32,0.770085,0.009005,0.955800,0.566167,0.001167
CricketY,16,64,0.842735,0.009707,3.782567,0.597533,0.005533
CricketY,16,128,0.841880,0.010675,6.800700,0.607567,0.012933
CricketY,8,128,0.837607,0.006453,3.988133,0.509333,0.079733
CricketY,8,64,0.828205,0.006784,2.334100,0.586233,0.005100
CricketY,16,32,0.823077,0.013568,2.264067,0.587700,0.004667
CricketY,4,128,0.819658,0.022402,2.464767,0.590100,0.009567
CricketY,8,32,0.817948,0.015597,1.444367,0.565067,0.002400
CricketY,4,64,0.800000,0.016814,1.462633,0.575400,0.001900
CricketY,4,32,0.767521,0.015456,0.972867,0.589400,0.001433
CricketZ,16,128,0.834188,0.013158,7.355100,0.538500,0.091600
CricketZ,8,128,0.824786,0.009004,4.119667,0.592033,0.006533
CricketZ,16,32,0.820513,0.029571,2.257500,0.567833,0.003467
CricketZ,8,64,0.813675,0.012118,2.379233,0.660700,0.003667
CricketZ,16,64,0.811966,0.007834,3.850467,0.886900,0.008033
CricketZ,4,128,0.806838,0.011562,2.472833,0.574033,0.002800
CricketZ,8,32,0.801709,0.023124,1.403433,0.556967,0.002467
CricketZ,4,64,0.786325,0.015456,1.492767,0.584300,0.001400
CricketZ,4,32,0.783761,0.017073,0.991433,0.575333,0.003733
Crop,16,128,0.757024,0.001103,29.981700,214.735067,0.326433
Crop,8,128,0.749722,0.002127,17.488600,166.014067,0.256133
Crop,16,64,0.746290,0.002147,17.546633,175.852667,0.264767
Crop,4,128,0.738988,0.004000,12.008100,37.581300,0.231767
Crop,8,64,0.735655,0.001316,11.604600,37.485800,0.249133
Crop,16,32,0.735357,0.000818,11.366500,37.680100,0.256800
Crop,4,64,0.726111,0.002237,8.364167,28.678467,0.160833
Crop,8,32,0.721786,0.001816,8.124333,28.129500,0.130800
Crop,4,32,0.701488,0.001995,6.341767,27.331367,0.085733
DiatomSizeReduction,4,64,0.942404,0.029526,0.796767,0.001200,0.012967
DiatomSizeReduction,4,128,0.939143,0.026493,1.183300,0.014767,0.011467
DiatomSizeReduction,4,32,0.938061,0.025393,0.517967,0.001233,0.005433
DiatomSizeReduction,8,128,0.932621,0.020634,1.921300,0.010100,0.009300
DiatomSizeReduction,16,32,0.930457,0.025236,1.122167,0.010467,0.008867
DiatomSizeReduction,16,64,0.930453,0.022106,1.808067,0.009867,0.010433
DiatomSizeReduction,8,32,0.929368,0.019554,0.763800,0.001300,0.012900
DiatomSizeReduction,16,128,0.929361,0.017876,3.361800,0.014367,0.020833
DiatomSizeReduction,8,64,0.928275,0.017164,1.172433,0.012633,0.009867
DistalPhalanxOutlineAgeGroup,4,32,0.820897,0.038700,0.268600,0.573933,0.000633
DistalPhalanxOutlineAgeGroup,8,32,0.816101,0.046889,0.358700,0.558767,0.000533
DistalPhalanxOutlineAgeGroup,8,128,0.813789,0.022178,0.783900,0.579700,0.003467
DistalPhalanxOutlineAgeGroup,16,64,0.813772,0.033410,0.762967,0.573200,0.001500
DistalPhalanxOutlineAgeGroup,16,32,0.811391,0.025892,0.527533,0.562067,0.000700
DistalPhalanxOutlineAgeGroup,4,128,0.799452,0.026668,0.523667,0.564600,0.000667
DistalPhalanxOutlineAgeGroup,4,64,0.799435,0.032108,0.362267,0.574933,0.000500
DistalPhalanxOutlineAgeGroup,8,64,0.787461,0.051164,0.509433,0.579900,0.001500
DistalPhalanxOutlineAgeGroup,16,128,0.780336,0.036934,1.225933,0.598000,0.001667
DistalPhalanxOutlineCorrect,8,64,0.834541,0.058235,0.803700,0.577133,0.004633
DistalPhalanxOutlineCorrect,16,32,0.833334,0.049811,0.799667,0.606200,0.002667
DistalPhalanxOutlineCorrect,8,32,0.826087,0.042717,0.573067,0.510033,0.000767
DistalPhalanxOutlineCorrect,16,64,0.822464,0.066513,1.193033,0.539833,0.005700
DistalPhalanxOutlineCorrect,16,128,0.820048,0.048249,2.061967,0.558633,0.027133
DistalPhalanxOutlineCorrect,4,128,0.817633,0.047287,0.806700,0.518900,0.001533
DistalPhalanxOutlineCorrect,4,64,0.817633,0.041205,0.561733,0.585267,0.000733
DistalPhalanxOutlineCorrect,8,128,0.810386,0.049986,1.218400,0.565233,0.009200
DistalPhalanxOutlineCorrect,4,32,0.807971,0.041785,0.419800,0.568733,0.007533
DistalPhalanxTW,8,128,0.756492,0.029553,0.768233,0.603467,0.001300
DistalPhalanxTW,4,128,0.756475,0.033828,0.538100,0.567467,0.002767
DistalPhalanxTW,8,64,0.751696,0.040340,0.516300,0.565367,0.001467
DistalPhalanxTW,4,64,0.749332,0.026868,0.372900,0.504300,0.000833
DistalPhalanxTW,4,32,0.744501,0.048778,0.281900,0.506367,0.000533
DistalPhalanxTW,16,32,0.739757,0.037848,0.530867,0.566900,0.001633
DistalPhalanxTW,8,32,0.739739,0.044851,0.351900,0.559100,0.000700
DistalPhalanxTW,16,128,0.737359,0.041848,1.257967,0.601833,0.003600
DistalPhalanxTW,16,64,0.732597,0.040481,0.773900,0.567900,0.008033
ECG200,4,128,0.883333,0.015275,0.296067,0.464600,0.000667
ECG200,16,64,0.876667,0.020817,0.402133,0.482400,0.002333
ECG200,8,32,0.870000,0.010000,0.182800,0.295233,0.000400
ECG200,4,32,0.863333,0.025166,0.119800,0.379567,0.001400
ECG200,16,128,0.863333,0.023094,0.617867,0.544267,0.001967
ECG200,8,64,0.860000,0.020000,0.293533,0.388400,0.001267
ECG200,8,128,0.860000,0.026458,0.431900,0.503967,0.001200
ECG200,4,64,0.856667,0.015275,0.184867,0.299500,0.000500
ECG200,16,32,0.850000,0.020000,0.277367,0.428600,0.000633
ECG5000,16,128,0.947333,0.002352,21.093433,0.620700,0.140233
ECG5000,8,64,0.946963,0.002900,7.098033,0.580033,0.026367
ECG5000,8,128,0.946963,0.001796,11.919067,0.589500,0.059100
ECG5000,4,128,0.946519,0.001480,7.517033,0.581267,0.029533
ECG5000,16,64,0.946519,0.001942,11.505633,0.594833,0.053800
ECG5000,8,32,0.945926,0.001698,4.633133,0.568367,0.010933
ECG5000,16,32,0.945926,0.001698,7.036767,0.694867,0.019467
ECG5000,4,64,0.945259,0.002017,4.810567,0.574100,0.013367
ECG5000,4,32,0.943852,0.004033,3.411667,0.511633,0.026767
ECGFiveDays,8,64,0.999613,0.000670,1.327167,0.018133,0.026133
ECGFiveDays,8,128,0.999613,0.000670,2.103133,0.009567,0.009633
ECGFiveDays,16,64,0.999613,0.000670,2.039900,0.011800,0.015767
ECGFiveDays,16,128,0.999613,0.000670,3.615933,0.010133,0.027000
ECGFiveDays,8,32,0.999226,0.001341,0.920467,0.014600,0.010233
ECGFiveDays,16,32,0.999226,0.001341,1.328667,0.035800,0.013233
ECGFiveDays,4,64,0.998839,0.001162,0.961500,0.012267,0.010000
ECGFiveDays,4,32,0.998064,0.000671,0.690800,0.008667,0.008367
ECGFiveDays,4,128,0.998064,0.000671,1.367367,0.012667,0.011833
EOGHorizontalSignal,16,32,0.759668,0.150774,7.883267,0.563867,0.003967
EOGHorizontalSignal,8,128,0.758748,0.148050,15.179367,0.576800,0.005500
EOGHorizontalSignal,16,64,0.756906,0.155557,14.279233,0.578833,0.005567
EOGHorizontalSignal,16,128,0.755985,0.164645,27.079300,0.616400,0.014300
EOGHorizontalSignal,8,64,0.755064,0.153913,8.248867,0.565400,0.003700
EOGHorizontalSignal,4,128,0.747698,0.140378,9.112667,0.573167,0.004300
EOGHorizontalSignal,8,32,0.745856,0.153209,4.570800,0.566800,0.002033
EOGHorizontalSignal,4,64,0.724678,0.158746,4.892200,0.563767,0.001467
EOGHorizontalSignal,4,32,0.720074,0.159513,3.002567,0.560733,0.001067
EOGVerticalSignal,8,64,0.687845,0.160340,8.281000,0.564567,0.003367
EOGVerticalSignal,16,64,0.683241,0.177191,14.383100,0.582467,0.007867
EOGVerticalSignal,16,128,0.681400,0.180350,28.051667,0.625067,0.012733
EOGVerticalSignal,8,128,0.678637,0.169869,15.195167,0.582633,0.006467
EOGVerticalSignal,8,32,0.668508,0.160578,4.576267,0.556667,0.002067
EOGVerticalSignal,16,32,0.667588,0.153367,7.976333,0.561933,0.003200
EOGVerticalSignal,4,128,0.651013,0.150148,9.080033,0.566633,0.003200
EOGVerticalSignal,4,32,0.643647,0.141479,3.032533,0.558200,0.001033
EOGVerticalSignal,4,64,0.636280,0.164181,5.019667,0.559800,0.002367
Earthquakes,4,64,0.781775,0.023126,1.364567,0.562400,0.000533
Earthquakes,4,128,0.781775,0.042155,2.469600,0.557900,0.000767
Earthquakes,4,32,0.781774,0.029952,0.858467,0.535600,0.007867
Earthquakes,8,32,0.779376,0.027237,1.343667,0.553100,0.002567
Earthquakes,8,64,0.772182,0.027237,2.174833,0.556933,0.001133
Earthquakes,16,32,0.764988,0.033998,2.084667,0.556600,0.001000
Earthquakes,16,128,0.764988,0.036918,6.796333,0.581133,0.004067
Earthquakes,16,64,0.760192,0.036918,3.789367,0.564200,0.001667
Earthquakes,8,128,0.750600,0.014976,3.890533,0.563733,0.001933
ElectricDevices,16,128,0.854450,0.084429,44.762533,661.572667,0.114267
ElectricDevices,16,64,0.850214,0.082891,26.368433,493.973133,0.107100
ElectricDevices,8,128,0.849306,0.081989,24.528600,565.119633,0.093100
ElectricDevices,4,128,0.844595,0.075885,16.090300,47.036600,0.041767
ElectricDevices,16,32,0.842649,0.080402,16.204000,49.057967,0.046767
ElectricDevices,8,64,0.839018,0.095426,15.795367,47.253567,0.075433
ElectricDevices,8,32,0.833312,0.085564,10.302833,31.090567,0.029667
ElectricDevices,4,64,0.832015,0.084968,10.738400,31.682067,0.024967
ElectricDevices,4,32,0.816410,0.087652,7.792067,27.917433,0.024367
EthanolLevel,16,128,0.656667,0.059138,54.863567,0.726700,0.024967
EthanolLevel,8,64,0.651333,0.050332,16.251233,0.645200,0.004233
EthanolLevel,16,64,0.648000,0.063906,28.777800,0.637200,0.009000
EthanolLevel,8,128,0.644667,0.061330,29.132933,0.621333,0.022300
EthanolLevel,16,32,0.642667,0.036019,15.466000,0.540533,0.025633
EthanolLevel,8,32,0.616667,0.028378,9.121700,0.525533,0.008900
EthanolLevel,4,128,0.616000,0.047286,17.589867,0.476267,0.039500
EthanolLevel,4,64,0.611333,0.045797,10.110100,0.629400,0.004467
EthanolLevel,4,32,0.594667,0.051394,5.381567,0.611500,0.001167
FaceAll,8,128,0.965878,0.041176,5.352700,0.564033,0.085400
FaceAll,16,128,0.957988,0.053307,9.515300,0.635500,0.051967
FaceAll,4,128,0.956805,0.050739,3.436700,0.633167,0.013967
FaceAll,8,64,0.956804,0.055344,3.266567,0.602333,0.009967
FaceAll,16,64,0.956410,0.056540,5.295800,0.603333,0.023867
FaceAll,4,64,0.947140,0.065937,2.214800,0.589667,0.004667
FaceAll,16,32,0.944576,0.072943,3.224433,0.602433,0.010200
FaceAll,8,32,0.943392,0.073459,2.157400,0.591367,0.005900
FaceAll,4,32,0.930967,0.083701,1.527567,0.640000,0.004800
FaceFour,4,128,0.928030,0.006560,0.533800,0.011167,0.007533
FaceFour,4,64,0.924242,0.013121,0.380833,0.009867,0.009967
FaceFour,4,32,0.920454,0.019682,0.245700,0.001233,0.010400
FaceFour,8,32,0.916667,0.026243,0.369800,0.018767,0.013933
FaceFour,16,64,0.909091,0.030065,0.822133,0.012033,0.007200
FaceFour,8,64,0.909091,0.039365,0.506800,0.008733,0.007433
FaceFour,8,128,0.909091,0.039365,0.858233,0.012467,0.004833
FaceFour,16,128,0.905303,0.045925,1.356300,0.029667,0.013867
