dataset,mean_accuracy,std_accuracy,mean_transform_time_sec,mean_fit_time_sec,mean_predict_time_sec,mean_total_time_sec
ACSF1,0.813000,0.038887,2.552636,0.479979,0.051141,3.083756
Adiac,0.837852,0.014923,1.375673,0.568569,0.004855,1.949097
CBF,0.988667,0.009655,1.258657,0.027874,0.015957,1.302487
Car,0.938333,0.023635,0.688230,0.051323,0.038982,0.778535
ArrowHead,0.860571,0.055415,0.614084,0.025200,0.006449,0.645734
Beef,0.833333,0.072008,0.417779,0.023770,0.012502,0.454051
BME,1.000000,0.000000,0.360304,0.043631,0.015173,0.419107
BirdChicken,0.935000,0.041164,0.352885,0.028977,0.013044,0.394907
BeetleFly,0.955000,0.036893,0.360558,0.010143,0.009356,0.380057
Chinatown,0.965598,0.008991,0.171842,0.013041,0.009242,0.194124
